artist_name,track_name,is_explicit,album_release_date,genres,danceability,valence,energy,loudness,acousticness,instrumentalness,liveness,speechiness,key,tempo,mode,duration_ms,time_signature,popularity
The Weeknd,Blinding Lights,False,2020-03-20,"['canadian contemporary r&b', 'canadian pop', 'pop']",0.514,0.334,0.73,-5.934,0.00146,9.54e-05,0.0897,0.0598,1,171.005,1,200040,4,93
Bad Bunny,WHERE SHE GOES,True,2023-10-13,"['reggaeton', 'trap latino', 'urbano latino']",0.651,0.223,0.799,-4.02,0.143,0.634,0.112,0.0611,9,143.992,0,231704,4,84
Jimin,Like Crazy,False,2023-03-24,['k-pop'],0.629,0.362,0.733,-5.445,0.0025,0.0,0.357,0.0419,7,120.001,1,212241,4,93
Eminem,Mockingbird,True,2004-11-12,"['detroit hip hop', 'hip hop', 'rap']",0.637,0.254,0.678,-3.798,0.209,0.0,0.156,0.266,0,84.039,1,250760,4,91
RAYE,Escapism.,True,2023-02-03,"['uk contemporary r&b', 'uk pop']",0.538,0.25,0.742,-5.355,0.138,4.67e-05,0.0934,0.114,2,96.107,1,272373,4,76
Olivia Rodrigo,vampire,True,2023-09-08,['pop'],0.511,0.35,0.532,-5.745,0.177,0.0,0.291,0.0578,5,138.005,1,219724,4,95
Peso Pluma,PRC,True,2023-06-29,"['corridos tumbados', 'sad sierreno']",0.784,0.893,0.826,-6.34,0.0965,7.09e-05,0.123,0.0538,7,138.078,0,184066,3,82
"Tyler, The Creator",See You Again (feat. Kali Uchis),True,2017-07-21,"['hip hop', 'rap']",0.558,0.62,0.559,-9.222,0.371,7.49e-06,0.109,0.0959,6,78.558,1,180387,4,92
Bad Bunny,Me Porto Bonito,True,2022-05-06,"['reggaeton', 'trap latino', 'urbano latino']",0.911,0.425,0.712,-5.105,0.0901,2.68e-05,0.0933,0.0817,1,92.005,0,178567,4,89
NewJeans,OMG,False,2023-01-02,"['k-pop', 'k-pop girl group']",0.804,0.739,0.771,-4.067,0.357,3.07e-06,0.108,0.0433,9,126.956,0,212253,4,87
Natanael Cano,AMG,True,2023-06-30,"['corrido', 'corridos tumbados', 'musica mexicana', 'sad sierreno', 'sierreno']",0.772,0.786,0.73,-6.657,0.152,0.000107,0.274,0.0972,11,136.175,0,174943,3,81
d4vd,Romantic Homicide,False,2022-07-20,['bedroom pop'],0.571,0.216,0.544,-10.613,0.453,0.00805,0.322,0.0299,6,132.052,1,132631,4,91
